id,name,lat,lon
8227,Dąbrowa Centrum,54.4734,18.46509
8228,Kameliowa,54.47018,18.4682
8229,Paprykowa,54.46781,18.46536
8230,Szafranowa,54.46532,18.46008
8231,Leśna Polana,54.46224,18.45337
8234,Rewerenda,54.45166,18.43899
8235,Synaka,54.44758,18.42801
8236,Chwaszczyno,54.44343,18.42088
8237,Centrum,54.44403,18.41981
8239,Rewerenda,54.45217,18.4406
8244,Leśna Polana,54.46279,18.45514
8245,Szafranowa,54.4658,18.46161
8246,Paprykowa,54.4683,18.46687
8247,Dąbrowa Centrum,54.47394,18.466
8248,Anyżowa,54.47483,18.46977
8249,Kameliowa,54.4708,18.46809
8250,Wiejska,54.44604,18.42309
8265,Rdestowa - Leśny Zakątek,54.46395,18.45726
100,Targ Rybny,54.35358,18.65789
101,Port Lotniczy,54.38263,18.46762
102,Port Lotniczy,54.38273,18.46768
103,Port Lotniczy,54.3828,18.4677
110,Muzeum II Wojny Światowej,54.35761,18.65895
114,Wrzeszcz PKP,54.3813,18.60456
115,Wrzeszcz PKP,54.38136,18.60442
116,Wrzeszcz PKP,54.38134,18.60411
8308,Karwiny PKM,54.4692,18.50773
117,Oliwa PKP,54.41114,18.57221
8309,Źródło Marii,54.47067,18.49474
118,Oliwa PKP,54.41095,18.57299
119,Oliwa PKP,54.41166,18.57406
120,Oliwa,54.40926,18.56704
121,Żabianka SKM,54.42112,18.57003
8313,Myśliwska,54.47124,18.48859
122,Jelitkowo Kapliczna,54.42152,18.60204
123,Przymorze SKM,54.40183,18.57631
124,Zaspa SKM,54.3893,18.59434
125,Nowy Port Szaniec Zachodni,54.39612,18.67286
128,Migowo,54.35286,18.57647
130,Chełm Cienista,54.33831,18.62702
132,Orunia Górna,54.32519,18.61831
134,Chełm Cienista,54.33769,18.62619
135,Równa,54.32419,18.64089
137,Olszynka Szkoła,54.34184,18.66894
139,Górki Zachodnie,54.35477,18.78216
141,Westerplatte,54.40606,18.67702
142,Górki Wschodnie,54.35037,18.79306
143,Przegalina,54.31124,18.91707
8337,Nałkowskiej,54.46985,18.49914
146,Lipuska,54.33863,18.51084
147,Bysewo,54.37483,18.46365
8339,Podleśna,54.46792,18.50927
150,Matemblewo,54.36659,18.54885
151,Suchanino,54.35411,18.60737
153,Niedźwiednik,54.38001,18.55945
154,Oliwa ZOO,54.41353,18.53517
158,Sztutowska,54.35395,18.71869
159,Jelitkowo,54.42344,18.59375
160,Galaktyczna,54.42812,18.48622
161,Osowa PKP,54.42059,18.45193
167,Chełm Więckowskiego,54.33398,18.61584
171,Komarowo,54.2474,18.65106
172,Smęgorzyno,54.34202,18.47321
173,Stogi Plaża,54.37245,18.72866
175,Św. Wojciech,54.28478,18.63808
176,Kukawka,54.44393,18.45755
178,Kiełpino Górne,54.34198,18.49883
183,Kampinoska,54.31629,18.6033
184,Olimpijska,54.3056,18.58111
191,Łostowice Świętokrzyska,54.32335,18.60616
194,Zakoniczyn,54.31981,18.57735
195,Jaworzniaków,54.31799,18.56861
196,Urząd Gminy,54.34144,18.35514
199,Jasień Pólnicy,54.34111,18.56103
201,Jelitkowo,54.42321,18.59273
202,Oliwa,54.40968,18.56713
203,Zaspa,54.39988,18.59556
204,Zaspa,54.39928,18.5949
205,Siedlce,54.34831,18.60648
208,Nowy Port Góreckiego,54.40005,18.67098
