id,name,lat,lon
0,Uniwersytet WSB Merito w Gdańsku,54.35205 18.64637
1,Politechnika Gdańska,54.37083,18.62019
2,Gdański Uniwersytet Medyczny,54.36615,18.63348
3,Uniwersytet Gdański,54.39921,18.57004
4,Polsko Japońska Akademia Technik Komputerowych,54.35241,18.64772
