id,name,lat,lon
5.724,Point,54.330039905238515,18.551033733391364
5.278,Point,54.337323710197204,18.550011438629202
5.123,Point,54.330019863276,18.564030358536705
4.859,Point,54.34476110564008,18.550012081334664
4.616,Point,54.337343133611654,18.562760448078983
4.603,Point,54.33009936561032,18.576656071263816
4.523,Point,54.35316673997528,18.55001341389375
4.153,Point,54.3305221621388,18.589076469025862
4.143,Point,54.34481758458655,18.56249580792304
3.996,Point,54.33752880928683,18.575643655016655
3.911,Point,54.35904614603653,18.557488924884204
3.749,Point,54.352468548237944,18.56289340196756
3.579,Point,54.330037513743285,18.601743806828303
3.529,Point,54.3300087618039,18.699471177033253
3.467,Point,54.34478867380027,18.57514386732695
3.451,Point,54.338053407452406,18.588158758623837
3.352,Point,54.365453310258246,18.550667313139442
3.34,Point,54.37650875130406,18.699402979710992
3.306,Point,54.36415120837114,18.566164864582685
3.155,Point,54.33730005532627,18.601066639408884
3.016,Point,54.35226804630393,18.575270547240688
3.015,Point,54.33746068930462,18.69990756605349
2.989,Point,54.33032901258553,18.68695937147705
2.933,Point,54.330901553868095,18.614080492892366
2.895,Point,54.36894746447448,18.699690136631784
2.879,Point,54.377199728045994,18.68681334205463
2.796,Point,54.369296934324744,18.57495797744692
2.761,Point,54.34601726060731,18.58791106804938
2.652,Point,54.38457827773612,18.69977111242002
2.645,Point,54.37055630014637,18.560552526529
